4294A REV1.11
"DATE:     52 -100"


"MEASURE PARAMETER: IMPEDANCE MAG PHASE (DEG)"
"ADAPTER: 7mm"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 801"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 5"
"SWEEP AVERAGING: 16"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LOG"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
2.63808160000e+04	8.906814e+02	0.000000e+00
2.63888160000e+04	8.885527e+02	0.000000e+00
2.63968180000e+04	8.864395e+02	0.000000e+00
2.64048230000e+04	8.842972e+02	0.000000e+00
2.64128300000e+04	8.821684e+02	0.000000e+00
2.64208400000e+04	8.800936e+02	0.000000e+00
2.64288520000e+04	8.779454e+02	0.000000e+00
2.64368670000e+04	8.758201e+02	0.000000e+00
2.64448830000e+04	8.736597e+02	0.000000e+00
2.64529030000e+04	8.714911e+02	0.000000e+00
2.64609250000e+04	8.693566e+02	0.000000e+00
2.64689490000e+04	8.671597e+02	0.000000e+00
2.64769750000e+04	8.649645e+02	0.000000e+00
2.64850050000e+04	8.627750e+02	0.000000e+00
2.64930360000e+04	8.605889e+02	0.000000e+00
2.65010700000e+04	8.583753e+02	0.000000e+00
2.65091060000e+04	8.561607e+02	0.000000e+00
2.65171450000e+04	8.539424e+02	0.000000e+00
2.65251870000e+04	8.516997e+02	0.000000e+00
2.65332300000e+04	8.494461e+02	0.000000e+00
2.65412760000e+04	8.472139e+02	0.000000e+00
2.65493250000e+04	8.449448e+02	0.000000e+00
2.65573760000e+04	8.426644e+02	0.000000e+00
2.65654300000e+04	8.403812e+02	0.000000e+00
2.65734850000e+04	8.380841e+02	0.000000e+00
2.65815440000e+04	8.357747e+02	0.000000e+00
2.65896050000e+04	8.334996e+02	0.000000e+00
2.65976680000e+04	8.311669e+02	0.000000e+00
2.66057340000e+04	8.288608e+02	0.000000e+00
2.66138020000e+04	8.265078e+02	0.000000e+00
2.66218720000e+04	8.241694e+02	0.000000e+00
2.66299450000e+04	8.218170e+02	0.000000e+00
2.66380210000e+04	8.194294e+02	0.000000e+00
2.66460990000e+04	8.170682e+02	0.000000e+00
2.66541790000e+04	8.146883e+02	0.000000e+00
2.66622620000e+04	8.122939e+02	0.000000e+00
2.66703470000e+04	8.099117e+02	0.000000e+00
