4294A REV1.04
"DATE: Jun 11 2002"


"MEASURE PARAMETER: IMPEDANCE MAG PHASE (DEG)"
"ADAPTER: PROBE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 601"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"
"FORMAT: LOG"

"Frequency"	"Data Trace Real"	"Data Trace Imag"	"Memory Trace Real"	"Memory Trace Imag"
7.40000000000e+04	9.100274e+02	0.000000e+00	9.034574e+02	0.000000e+00
7.41794130000e+04	9.075305e+02	0.000000e+00	9.008192e+02	0.000000e+00
7.43592620000e+04	9.053295e+02	0.000000e+00	8.981852e+02	0.000000e+00
7.45395460000e+04	9.023135e+02	0.000000e+00	8.955557e+02	0.000000e+00
7.47202680000e+04	8.999510e+02	0.000000e+00	8.929307e+02	0.000000e+00
7.49014270000e+04	8.973773e+02	0.000000e+00	8.903099e+02	0.000000e+00
7.50830260000e+04	8.943602e+02	0.000000e+00	8.876935e+02	0.000000e+00
7.52650650000e+04	8.919287e+02	0.000000e+00	8.850813e+02	0.000000e+00
7.54475460000e+04	8.895627e+02	0.000000e+00	8.824735e+02	0.000000e+00
7.56304690000e+04	8.867805e+02	0.000000e+00	8.798699e+02	0.000000e+00
7.58138350000e+04	8.843728e+02	0.000000e+00	8.772705e+02	0.000000e+00
7.59976460000e+04	8.811964e+02	0.000000e+00	8.746753e+02	0.000000e+00
7.61819030000e+04	8.790298e+02	0.000000e+00	8.720843e+02	0.000000e+00
7.63666060000e+04	8.764455e+02	0.000000e+00	8.694974e+02	0.000000e+00
7.65517570000e+04	8.740593e+02	0.000000e+00	8.669147e+02	0.000000e+00
7.67373570000e+04	8.712126e+02	0.000000e+00	8.643361e+02	0.000000e+00
7.69234070000e+04	8.685486e+02	0.000000e+00	8.617615e+02	0.000000e+00
7.71099090000e+04	8.660060e+02	0.000000e+00	8.591910e+02	0.000000e+00
7.72968620000e+04	8.634453e+02	0.000000e+00	8.566245e+02	0.000000e+00
7.74842680000e+04	8.609348e+02	0.000000e+00	8.540620e+02	0.000000e+00
7.76721290000e+04	8.582078e+02	0.000000e+00	8.515035e+02	0.000000e+00
7.78604460000e+04	8.556981e+02	0.000000e+00	8.489489e+02	0.000000e+00
