4294A REV1.11
"DATE:     28 -100"


"MEASURE PARAMETER: ADMITTANCE MAG PHASE (DEG)"
"ADAPTER: 7mm"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 801"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 5"
"SWEEP AVERAGING: 16"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LOG"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.03741392000e+05	1.200116e-03	0.000000e+00
1.03775420000e+05	1.201233e-03	0.000000e+00
1.03809459000e+05	1.202363e-03	0.000000e+00
1.03843509000e+05	1.203475e-03	0.000000e+00
1.03877571000e+05	1.204623e-03	0.000000e+00
1.03911644000e+05	1.205715e-03	0.000000e+00
1.03945728000e+05	1.206857e-03	0.000000e+00
1.03979823000e+05	1.207998e-03	0.000000e+00
1.04013929000e+05	1.209163e-03	0.000000e+00
1.04048047000e+05	1.210299e-03	0.000000e+00
1.04082176000e+05	1.211448e-03	0.000000e+00
1.04116315000e+05	1.212599e-03	0.000000e+00
1.04150467000e+05	1.213777e-03	0.000000e+00
1.04184629000e+05	1.214942e-03	0.000000e+00
1.04218802000e+05	1.216157e-03	0.000000e+00
1.04252987000e+05	1.217355e-03	0.000000e+00
1.04287183000e+05	1.218575e-03	0.000000e+00
1.04321390000e+05	1.219789e-03	0.000000e+00
1.04355608000e+05	1.221036e-03	0.000000e+00
1.04389838000e+05	1.222311e-03	0.000000e+00
1.04424079000e+05	1.223578e-03	0.000000e+00
1.04458331000e+05	1.224846e-03	0.000000e+00
1.04492594000e+05	1.226091e-03	0.000000e+00
1.04526869000e+05	1.227387e-03	0.000000e+00
1.04561155000e+05	1.228680e-03	0.000000e+00
1.04595452000e+05	1.229959e-03	0.000000e+00
1.04629760000e+05	1.231275e-03	0.000000e+00
1.04664079000e+05	1.232549e-03	0.000000e+00
1.04698410000e+05	1.233849e-03	0.000000e+00
1.04732752000e+05	1.235160e-03	0.000000e+00
1.04767105000e+05	1.236490e-03	0.000000e+00
1.04801470000e+05	1.237837e-03	0.000000e+00
1.04835846000e+05	1.239198e-03	0.000000e+00
1.04870233000e+05	1.240530e-03	0.000000e+00
1.04904631000e+05	1.241922e-03	0.000000e+00
1.04939041000e+05	1.243316e-03	0.000000e+00
1.04973462000e+05	1.244691e-03	0.000000e+00
1.05007894000e+05	1.246091e-03	0.000000e+00
1.05042338000e+05	1.247505e-03	0.000000e+00
1.05076793000e+05	1.248938e-03	0.000000e+00
1.05111259000e+05	1.250376e-03	0.000000e+00
1.05145736000e+05	1.251802e-03	0.000000e+00
1.05180225000e+05	1.253299e-03	0.000000e+00
1.05214725000e+05	1.254743e-03	0.000000e+00
1.05249236000e+05	1.256268e-03	0.000000e+00
1.05283759000e+05	1.257731e-03	0.000000e+00
1.05318293000e+05	1.259234e-03	0.000000e+00
1.05352839000e+05	1.260778e-03	0.000000e+00
1.05387395000e+05	1.262258e-03	0.000000e+00
1.05421963000e+05	1.263809e-03	0.000000e+00
1.05456543000e+05	1.265364e-03	0.000000e+00
1.05491133000e+05	1.266898e-03	0.000000e+00
1.05525735000e+05	1.268457e-03	0.000000e+00
1.05560349000e+05	1.270038e-03	0.000000e+00
1.05594974000e+05	1.271613e-03	0.000000e+00
1.05629610000e+05	1.273213e-03	0.000000e+00
1.05664257000e+05	1.274836e-03	0.000000e+00
1.05698916000e+05	1.276438e-03	0.000000e+00
1.05733586000e+05	1.278086e-03	0.000000e+00
1.05768268000e+05	1.279719e-03	0.000000e+00
1.05802961000e+05	1.281393e-03	0.000000e+00
1.05837665000e+05	1.283083e-03	0.000000e+00
1.05872381000e+05	1.284745e-03	0.000000e+00
1.05907108000e+05	1.286456e-03	0.000000e+00
1.05941846000e+05	1.288207e-03	0.000000e+00
1.05976596000e+05	1.289982e-03	0.000000e+00
1.06011358000e+05	1.291750e-03	0.000000e+00
1.06046130000e+05	1.293556e-03	0.000000e+00
1.06080914000e+05	1.295366e-03	0.000000e+00
1.06115710000e+05	1.297174e-03	0.000000e+00
1.06150517000e+05	1.299036e-03	0.000000e+00
1.06185335000e+05	1.300877e-03	0.000000e+00
1.06220165000e+05	1.302765e-03	0.000000e+00
1.06255006000e+05	1.304646e-03	0.000000e+00
1.06289859000e+05	1.306568e-03	0.000000e+00
1.06324723000e+05	1.308496e-03	0.000000e+00
1.06359598000e+05	1.310407e-03	0.000000e+00
1.06394485000e+05	1.312394e-03	0.000000e+00
1.06429383000e+05	1.314379e-03	0.000000e+00
1.06464293000e+05	1.316387e-03	0.000000e+00
1.06499214000e+05	1.318359e-03	0.000000e+00
1.06534147000e+05	1.320372e-03	0.000000e+00
1.06569091000e+05	1.322401e-03	0.000000e+00
1.06604047000e+05	1.324493e-03	0.000000e+00
1.06639014000e+05	1.326575e-03	0.000000e+00
1.06673993000e+05	1.328712e-03	0.000000e+00
1.06708983000e+05	1.330871e-03	0.000000e+00
1.06743984000e+05	1.332991e-03	0.000000e+00
1.06778997000e+05	1.335170e-03	0.000000e+00
1.06814022000e+05	1.337396e-03	0.000000e+00
1.06849058000e+05	1.339635e-03	0.000000e+00
1.06884105000e+05	1.341861e-03	0.000000e+00
